Experiment,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC
LightGBM_FE_v2_tuned_threshold,0.39999999999999986,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.40999999999999986,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.4199999999999998,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.4299999999999998,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.43999999999999984,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.44999999999999984,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.45999999999999985,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.4699999999999998,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.4799999999999998,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.4899999999999998,0.99,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.4999999999999998,0.99,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5099999999999998,0.99,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5199999999999998,0.99,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5299999999999998,0.9913333333333333,0.88,0.8627450980392157,0.8712871287128713,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5399999999999998,0.9913333333333333,0.88,0.8627450980392157,0.8712871287128713,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5499999999999998,0.9913333333333333,0.88,0.8627450980392157,0.8712871287128713,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5599999999999998,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5699999999999997,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5799999999999997,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5899999999999997,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.5999999999999998,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.6099999999999998,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.6199999999999998,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.6299999999999998,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.6399999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9881189190652107
LightGBM_FE_v2_tuned_threshold,0.6499999999999997,0.9913333333333333,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9881189190652107
